Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
E MARTIN ST,SAN ANTONIO RIVER,0.1 MI E OF SOLEDAD ST,Concrete Tee beam (2 spans),1927,--,51.8,106,Functionally Obsolete
PECAN ST,SAN ANTONIO RIVER,0.04 MI W OF S ST MARY'S,Concrete Tee beam (2 spans),1927,--,43,91.9,Functionally Obsolete
DOLOROSA ST,SAN PEDRO CREEK,0.03 MI E OF SANTA ROSA,Steel Other,1928,--,25.9,28.9,Functionally Obsolete
E. HILDEBRAND AVE,OLMOS CREEK,0.3 MI W OF BROADWAY,Steel Stringer/Multi-beam or girder,1928,1979,58.1,153.9,Functionally Obsolete
E. HILDEBRAND AVE,SAN ANTONIO RIVER,0.24 MI. W. OF BROADWAY,Steel Stringer/Multi-beam or girder (2 spans),1928,1979,40,80.1,Functionally Obsolete
DOLOROSA ST,SAN ANTONIO RIVER,0.05 MI E OF MAIN PLAZA,Concrete Tee beam (2 spans),1929,--,36.1,75.1,Functionally Obsolete
E GRAYSON ST,SAN ANTONIO RIVER,0.3 MI W OF BROADWAY AVE.,Concrete Tee beam (2 spans),1929,--,44,87.9,Functionally Obsolete
TRAVIS ST,SAN ANTONIO RIVER,0.06 MI E OF SOLEDAD ST.,Concrete Tee beam (2 spans),1929,--,49.9,100.1,Functionally Obsolete
ML MISSION RD.,DRAW-NO NAME,0.6 MI S OF MILITARY DR.,Concrete Culvert (3 spans),1930,1970,7.9,24.9,Functionally Obsolete
DURANGO BLVD WB,SAN ANTONIO RIVER,0.2 MI SE OF MAIN ST,Concrete Box beam or girders - Multiple,1931,--,103,110.9,Functionally Obsolete
